dataset,model,fold,method,joint_nll,joint_brier,joint_ece_15,conditional_nll_a_given_b,conditional_nll_b_given_a,marginal_distortion,factorization_tv,selected_policy,selected_weight,selected_lambda,n_train,n_validation,n_test,stratification
anneal,tabpfn3,4,soft_core_lambda_1,0.5152914296833697,0.2515494605544622,0.0721865599244936,0.0691071478191551,0.4474084130000916,0.0053741255288317,0.0325793159401791,soft,0.0,3.0,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,tabpfn3,4,selective_core,0.5117206046548277,0.2500694928394643,0.0670063403996361,0.0668208725325756,0.4424726683978494,0.0049513694381789,0.0325793159401791,soft,0.0,3.0,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,tabpfn3,5,j1_b_then_a,0.3131276676350338,0.202204335293488,0.0814548990725828,0.0188284439721499,0.2933554262394501,0.0008417414992582,0.012641260086098,mpr,0.0,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,tabpfn3,5,j2_a_then_b,0.2957162741221314,0.1937205066874436,0.0535161844158065,0.0166281296416243,0.2766022374453243,0.0056150598942315,0.012641260086098,mpr,0.0,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,tabpfn3,5,independent,0.3134132603396911,0.2027138075247886,0.0929390421619103,0.0191140366768071,0.2942992236628839,3.850355352228158e-17,0.012641260086098,mpr,0.0,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,tabpfn3,5,arithmetic,0.303429874915826,0.1977404794629047,0.0601018085227367,0.0176310082291625,0.2839992454408317,0.0032284006967448,0.012641260086098,mpr,0.0,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,tabpfn3,5,geometric,0.3036014652706531,0.1978709694595601,0.0535031927734201,0.0174358980092206,0.284404129644969,0.0032422594982803,0.012641260086098,mpr,0.0,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,tabpfn3,5,hard_core,0.3115405401348373,0.2013703894480828,0.0814760206703844,0.0172413164719533,0.2924265034578025,8.550326542363903e-14,0.012641260086098,mpr,0.0,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,tabpfn3,5,soft_core_lambda_1,0.3074536000186069,0.1996012411431155,0.0691784101673791,0.0173904891522843,0.2882270744586529,0.0016549949285921,0.012641260086098,mpr,0.0,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,tabpfn3,5,selective_core,0.310528156414432,0.2008149594251523,0.0811649475064668,0.0162289327515479,0.2914141197374293,7.333123632040529e-14,0.012641260086098,mpr,0.0,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
