dataset,model,method,joint_nll_mean,joint_nll_sd,joint_brier_mean,factorization_tv_mean,marginal_distortion_mean,n_folds
credit,tabiclv2,selective_core,1.7367173325802774,0.06251397782605768,0.7704150088591153,0.07020972561192478,0.013637760966696322,5
credit,tabiclv2,soft_core_lambda_1,1.7341750427771836,0.054250960543535766,0.769127601521666,0.07020972561192478,0.01123879087693272,5
credit,tabpfn3,arithmetic,1.720819197058471,0.04727891874376139,0.7693038046861906,0.05162143226272984,0.01576873497635316,5
credit,tabpfn3,geometric,1.7205259236366306,0.04730968372761299,0.769223545763714,0.05162143226272984,0.01577499995619408,5
credit,tabpfn3,hard_core,1.7289174180497757,0.04600699592890914,0.7725742126513389,0.05162143226272984,2.0957401124840213e-13,5
credit,tabpfn3,independent,1.780678431778485,0.03127755251693682,0.7863804531808336,0.05162143226272984,1.1888276821303557e-17,5
credit,tabpfn3,j1_b_then_a,1.7295389079070502,0.045913390176384024,0.7730619727455341,0.05162143226272984,0.01333701221925522,5
credit,tabpfn3,j2_a_then_b,1.7165218333957017,0.048810035188399846,0.7672319506169191,0.05162143226272984,0.01820045773345114,5
credit,tabpfn3,selective_core,1.7186486720677678,0.04622685933139341,0.7687056312691032,0.05162143226272984,0.01646531348408366,5
credit,tabpfn3,soft_core_lambda_1,1.723666308954937,0.04692210897402758,0.7705475688926916,0.05162143226272984,0.008775871632488701,5
customer,catboost,arithmetic,1.4416140308695198,0.053044062497390854,0.6709247120579596,0.046944422829909224,0.014039766127185879,5
customer,catboost,geometric,1.441656666181604,0.05332280799417723,0.6709470776048553,0.046944422829909224,0.014033069009508358,5
customer,catboost,hard_core,1.4438825146807042,0.05678108624629706,0.6728227922362484,0.046944422829909224,6.47018408902328e-14,5
customer,catboost,independent,1.444970216670138,0.057191385238001685,0.6729339116377375,0.046944422829909224,2.6622584345381563e-17,5
customer,catboost,j1_b_then_a,1.4430991630034664,0.05497532924899449,0.6727459267251776,0.046944422829909224,0.007777403193156579,5
customer,catboost,j2_a_then_b,1.4441868395684114,0.051804521885656055,0.670577254849651,0.046944422829909224,0.02030212906121518,5
customer,catboost,selective_core,1.4446801755185796,0.055711421833105304,0.6732129809565046,0.046944422829909224,0.008034693255670114,5
customer,catboost,soft_core_lambda_1,1.4422705686695825,0.055049887469683756,0.6717059804301255,0.046944422829909224,0.00701204390832236,5
customer,tabiclv2,arithmetic,1.4297946561164758,0.06373603104021887,0.667423970191059,0.05490253239141778,0.015792577262205378,5
customer,tabiclv2,geometric,1.4300388448834154,0.06435070938301381,0.6675368216281052,0.05490253239141778,0.0159024843558201,5
customer,tabiclv2,hard_core,1.4371458805517188,0.05765360904955944,0.6684479362077603,0.05490253239141778,1.334600962644934e-13,5
customer,tabiclv2,independent,1.4368577623409027,0.055191633671501386,0.6677605372376227,0.05490253239141778,1.8936480327053955e-17,5
customer,tabiclv2,j1_b_then_a,1.4333427625793562,0.06462861400523004,0.6676489308667215,0.05490253239141778,0.00885641546746364,5
customer,tabiclv2,j2_a_then_b,1.4331567137416565,0.0650087580008544,0.6692922601459079,0.05490253239141778,0.0227287390569472,5
customer,tabiclv2,selective_core,1.435256328521169,0.05853315523253304,0.6684811267739317,0.05490253239141778,0.007787870477817219,5
customer,tabiclv2,soft_core_lambda_1,1.4327205562361613,0.060917445794330755,0.667727320160654,0.05490253239141778,0.0079978359613933,5
customer,tabpfn3,arithmetic,1.4212005164647388,0.0637624977940259,0.6628099037219695,0.01319450888126574,0.00355446156199786,5
customer,tabpfn3,geometric,1.4212139584279744,0.06380508295804327,0.6628098817874528,0.01319450888126574,0.0035469402317812398,5
customer,tabpfn3,hard_core,1.4213249067590754,0.06331749458202805,0.6628139112295356,0.01319450888126574,2.0784041381802537e-14,5
customer,tabpfn3,independent,1.4227106264839582,0.06395389226067495,0.6627553007758892,0.01319450888126574,1.7809545342379467e-17,5
customer,tabpfn3,j1_b_then_a,1.4216875221582044,0.06379293177318003,0.6629009831228224,0.01319450888126574,0.0022115469789584603,5
customer,tabpfn3,j2_a_then_b,1.4212049898563195,0.06409040349610007,0.662838411177014,0.01319450888126574,0.00489737614503732,5
customer,tabpfn3,selective_core,1.4211565694638326,0.06331927510853137,0.6628057216257878,0.01319450888126574,0.0007278868277642203,5
customer,tabpfn3,soft_core_lambda_1,1.421220931929197,0.06354805443268624,0.662799956033505,0.01319450888126574,0.00178021159348856,5
diamonds,catboost,arithmetic,2.764638297185802,0.07909688493344094,0.9122457717469791,0.08997970138147027,0.027209763379079523,5
