dataset,model,fold,family,selected_kind,selected_weight,selected_penalty,joint_nll,marginal_distortion
nursery,catboost,4,full,soft,0.75,1.0,1.5157416103599977,0.0261191634538641
nursery,catboost,5,raw_only,j2,0.5,,1.5556861498234098,0.0259534808818257
nursery,catboost,5,pool_only,geometric,0.25,,1.5505098422640873,0.0270437004228544
nursery,catboost,5,repair_only,soft,0.5,3.0,1.555613321898138,0.0202357388268285
nursery,catboost,5,full,soft,0.5,3.0,1.555613321898138,0.0202357388268285
wine,tabiclv2,1,raw_only,j2,0.5,,1.0665908714579242,0.0017420365916409
wine,tabiclv2,1,pool_only,geometric,0.0,,1.0665908714579242,0.001742036591641
wine,tabiclv2,1,repair_only,soft,0.0,1.0,1.0624800594317372,0.0012225456392141
wine,tabiclv2,1,full,soft,0.0,1.0,1.0624800594317372,0.0012225456392141
wine,tabiclv2,2,raw_only,j1,0.5,,1.092951563112582,0.02753110815955
wine,tabiclv2,2,pool_only,geometric,0.75,,1.083252827958193,0.0211703027085568
wine,tabiclv2,2,repair_only,soft,0.75,0.03,1.0825683017275427,0.0205908907047107
wine,tabiclv2,2,full,geometric,0.75,,1.083252827958193,0.0211703027085568
wine,tabiclv2,3,raw_only,j1,0.5,,1.1977140891288995,0.0293523817257383
wine,tabiclv2,3,pool_only,geometric,1.0,,1.1977140891288995,0.0293523817257383
wine,tabiclv2,3,repair_only,soft,1.0,0.03,1.1974851931016612,0.0284196325605083
wine,tabiclv2,3,full,j1,0.5,,1.1977140891288995,0.0293523817257383
wine,tabiclv2,4,raw_only,j1,0.5,,1.0468793053473742,0.0306937014671043
wine,tabiclv2,4,pool_only,geometric,0.5,,1.0523546889718327,0.0163243879110193
wine,tabiclv2,4,repair_only,soft,0.5,0.3,1.0551018357626232,0.0128283813266576
wine,tabiclv2,4,full,soft,0.5,0.3,1.0551018357626232,0.0128283813266576
wine,tabiclv2,5,raw_only,j1,0.5,,1.1238023246400468,0.0220262992382472
wine,tabiclv2,5,pool_only,geometric,1.0,,1.1238023246400468,0.0220262992382472
wine,tabiclv2,5,repair_only,soft,1.0,0.03,1.1241712612757202,0.0214056075941969
wine,tabiclv2,5,full,j1,0.5,,1.1238023246400468,0.0220262992382472
wine,tabpfn3,1,raw_only,j2,0.5,,1.0586758176551314,0.0013575485586885
wine,tabpfn3,1,pool_only,arithmetic,0.5,,1.0463333434738835,0.0099641263977084
wine,tabpfn3,1,repair_only,soft,0.75,1.0,1.046442568454384,0.0077544298329529
wine,tabpfn3,1,full,arithmetic,0.5,,1.0463333434738835,0.0099641263977084
